SAMPLE_DATE,DATA_PROVIDER,SAMPLE_NAME,Lake Name,INFO_TYPE,HAB_STATUS,Bloom Extent,Latitude,Longitude,DOMINANT ALGAL SPECIES,MICROCYSTIN,FP_BG,FP_TOT,FP_CRYP,FP_GREEN,FP_DIA,LAB_NAME_CODE,Station.Name,REMARK
6/23/2019,CSL,19-139.1-01,Skaneateles Lake,OW,NO_BLOOM,NOT REPORTED,42.918062,-76.415406,NA,NA,0,1.7,0,0.5,1.2,UFI,Skaneateles Lake Site 1 Epi,
6/24/2019,CSL,19-139.2-01,Skaneateles Lake,OW,NO_BLOOM,NOT REPORTED,42.801633,-76.292495,NA,NA,0,2.1,0,0.7,1.4,UFI,Skaneateles Lake Site 2 Epi,
7/7/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.74179,-76.31825,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/8/2019,CSL,19-139.2-02,Skaneateles Lake,OW,NO_BLOOM,OPEN WATER,42.801633,-76.292495,NA,NA,0,0.6,0.1,0.4,0.2,UFI,Skaneateles Lake Site 2 Epi,
7/9/2019,CSL,19-139.1-02,Skaneateles Lake,OW,NO_BLOOM,OPEN WATER,42.918062,-76.415406,NA,NA,0,0.8,0,0.4,0.4,UFI,Skaneateles Lake Site 1 Epi,
7/14/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.9736,-85.93232,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/15/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,71.90741,-72.14883,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/15/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.8382,-76.35908,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/15/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.78897,-76.31809,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/15/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.83813,-76.3317,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/15/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.83884,-76.35529,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/15/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.85124,-76.33751,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/15/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.76561,-76.26973,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/15/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.87566,-76.40856,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/15/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.76464,-76.269849,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/15/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.86776,-76.36758,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/15/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.89077,-76.38619,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/15/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.9301,-76.4264,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/15/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.80346,143.89893,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/15/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.81426,-76.31854,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/16/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.922,-76.4299,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/16/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.9033,-76.39473,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/16/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.94507,-76.42824,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/16/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.83548,-76.41382,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/16/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.85326,-76.34812,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/18/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.90809,-76.39592,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/19/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.81377,-76.3164,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/20/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.8622,-76.4003,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/21/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.78323,-76.27177,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/21/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,16.35505,22.40662,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/22/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.96839,-76.69817,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/22/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.82478,-76.33438,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/22/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.78843,-76.50711,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/22/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,43.65123,-78.92574,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/22/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.9033,-76.39473,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/22/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.89077,-76.38619,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/22/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.922,-76.4299,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/22/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.8368,-76.3083,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/22/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,40.37755,-111.87212,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/22/2019,SKA,NA,Skaneateles Lake,RT,NO_BLOOM,NO BLOOM PRESENT,42.81045,-76.31249,NA,NA,NA,NA,NA,NA,NA,NA,NA,
